INFO 2024-09-04 21:53:46,668 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 332
INFO 2024-09-04 21:53:46,740 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5949
INFO 2024-09-04 21:54:07,126 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 139
INFO 2024-09-04 21:54:07,173 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 2645
INFO 2024-09-04 21:54:07,195 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 21:54:07,340 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5949
INFO 2024-09-04 21:54:10,446 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:11,889 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:11,927 basehttp:161 "GET /api/v1/cmdb/resource?model=1 HTTP/1.1" 200 71
INFO 2024-09-04 21:54:16,516 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:18,311 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:54:21,358 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:21,393 basehttp:161 "GET /api/v1/cmdb/resource?model=1 HTTP/1.1" 200 71
INFO 2024-09-04 21:54:28,239 basehttp:161 "GET /api/v1/cmdb/resource?page=1&limit=10&model=1 HTTP/1.1" 200 71
INFO 2024-09-04 21:54:28,245 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:54:38,084 basehttp:161 "POST /api/v1/cmdb/resource HTTP/1.1" 200 106
INFO 2024-09-04 21:54:38,146 basehttp:161 "GET /api/v1/cmdb/resource?page=1&limit=10&model=1 HTTP/1.1" 200 130
INFO 2024-09-04 21:54:47,216 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:47,886 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:47,929 basehttp:161 "GET /api/v1/cmdb/resource?model=1 HTTP/1.1" 200 130
INFO 2024-09-04 21:54:51,216 basehttp:161 "GET /api/v1/cmdb/resource?page=1&limit=10&model=1 HTTP/1.1" 200 130
INFO 2024-09-04 21:54:51,217 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:54:55,761 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:54:57,246 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:55:07,838 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:55:11,869 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 429
INFO 2024-09-04 21:56:32,425 basehttp:161 "POST /api/v1/cmdb/fields HTTP/1.1" 200 251
INFO 2024-09-04 21:56:32,468 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 635
INFO 2024-09-04 21:56:35,045 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
INFO 2024-09-04 21:56:35,075 basehttp:161 "GET /api/v1/cmdb/resource?model=1 HTTP/1.1" 200 130
INFO 2024-09-04 21:56:36,548 basehttp:161 "GET /api/v1/cmdb/resource?page=1&limit=10&model=1 HTTP/1.1" 200 130
INFO 2024-09-04 21:56:36,552 basehttp:161 "GET /api/v1/cmdb/model/1 HTTP/1.1" 200 635
INFO 2024-09-04 21:58:43,591 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5949
INFO 2024-09-04 21:58:44,691 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 21:58:44,692 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 406
INFO 2024-09-04 21:58:45,349 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 21:58:45,411 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5949
INFO 2024-09-04 21:58:46,512 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 5949
INFO 2024-09-04 21:59:47,447 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 302
INFO 2024-09-04 21:59:47,543 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 6206
INFO 2024-09-04 22:00:40,199 basehttp:161 "POST /api/v1/system/permission HTTP/1.1" 200 333
INFO 2024-09-04 22:00:40,294 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 6508
INFO 2024-09-04 22:00:43,319 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 139
INFO 2024-09-04 22:00:43,381 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 3220
INFO 2024-09-04 22:00:43,396 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 22:00:43,554 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 6508
INFO 2024-09-04 22:00:45,448 basehttp:161 "GET /api/v1/tree HTTP/1.1" 301 0
INFO 2024-09-04 22:00:45,476 basehttp:161 "GET /api/v1/tree/ HTTP/1.1" 200 49
INFO 2024-09-04 22:01:23,180 basehttp:161 "POST /api/v1/tree/ HTTP/1.1" 200 234
INFO 2024-09-04 22:01:23,229 basehttp:161 "GET /api/v1/tree/ HTTP/1.1" 200 248
INFO 2024-09-04 22:01:24,743 basehttp:161 "GET /api/v1/cmdb/model-group HTTP/1.1" 200 231
ERROR 2024-09-04 22:01:24,770 log:224 Internal Server Error: /api/v1/tree/get-reloated-resource/1
Traceback (most recent call last):
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/core/handlers/base.py", line 181, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/Users/babyyy/.pyenv/versions/3.10.12/lib/python3.10/site-packages/django/views/decorators/csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
